"","Inbreeding_Coefficient","Value","Province_Name"
"245","Inbreeding.1","0.147368421052632","Bocas del Toro"
"246","Inbreeding.1","0.178947368421053","Bocas del Toro"
"247","Inbreeding.1","0.231578947368421","Bocas del Toro"
"248","Inbreeding.1","0.231578947368421","Bocas del Toro"
"249","Inbreeding.1","0.178947368421053","Bocas del Toro"
"250","Inbreeding.1","0.147368421052632","Bocas del Toro"
"251","Inbreeding.1","0.231578947368421","Bocas del Toro"
"252","Inbreeding.1","0.189473684210526","Bocas del Toro"
"253","Inbreeding.1","0.157894736842105","Bocas del Toro"
"254","Inbreeding.1","0.231578947368421","Bocas del Toro"
"255","Inbreeding.1","0.231578947368421","Bocas del Toro"
"256","Inbreeding.1","0.231578947368421","Bocas del Toro"
"257","Inbreeding.1","0.231578947368421","Bocas del Toro"
"258","Inbreeding.1","0.136842105263158","Bocas del Toro"
"259","Inbreeding.1","0.147368421052632","Bocas del Toro"
"260","Inbreeding.1","0.210526315789474","Bocas del Toro"
"261","Inbreeding.1","0.231578947368421","Bocas del Toro"
"262","Inbreeding.1","0.231578947368421","Bocas del Toro"
"263","Inbreeding.1","0.231578947368421","Bocas del Toro"
"264","Inbreeding.1","0.231578947368421","Bocas del Toro"
"265","Inbreeding.1","0.231578947368421","Bocas del Toro"
"266","Inbreeding.1","0.231578947368421","Bocas del Toro"
"267","Inbreeding.1","0.147368421052632","Bocas del Toro"
"268","Inbreeding.1","0.231578947368421","Bocas del Toro"
"269","Inbreeding.1","0.231578947368421","Bocas del Toro"
"270","Inbreeding.1","0.231578947368421","Bocas del Toro"
"271","Inbreeding.1","0.231578947368421","Bocas del Toro"
"272","Inbreeding.1","0.231578947368421","Bocas del Toro"
"273","Inbreeding.1","0.231578947368421","Bocas del Toro"
"274","Inbreeding.1","0.231578947368421","Bocas del Toro"
"275","Inbreeding.1","0.231578947368421","Bocas del Toro"
"276","Inbreeding.1","0.231578947368421","Bocas del Toro"
"277","Inbreeding.1","0.178947368421053","Bocas del Toro"
"278","Inbreeding.1","0.178947368421053","Bocas del Toro"
"279","Inbreeding.1","0.168421052631579","Bocas del Toro"
"280","Inbreeding.1","0.210526315789474","Bocas del Toro"
"281","Inbreeding.1","0.189473684210526","Bocas del Toro"
"282","Inbreeding.1","0.231578947368421","Bocas del Toro"
